EmployeeID,Year,Earnings
1,2023,32800
1,2022,32231
1,2021,32231
1,2020,29752
1,2019,29479
1,2018,26214
1,2017,14298
1,2016,5486
1,2015,0
1,2014,5000
1,2013,2500
1,2012,5000
1,2011,4650
1,2010,2325
1,2009,26901
1,2008,20889
1,2007,90294
1,2006,94200
1,2005,90000
1,2004,87900
1,2003,86141
1,2002,84900
1,2001,80400
1,2000,76200
1,1999,72600
1,1998,68400
1,1997,65400
1,1996,62700
1,1995,61200
1,1994,52439
1,1993,46343
1,1992,42503
1,1991,42593
1,1990,39217
1,1989,21865
1,1988,7634
1,1987,7159
1,1986,5574
1,1985,3200
1,1984,926
1,1983,650
2,2023,100000
2,2022,50000
2,2021,42000
2,2020,36000
2,2019,24000
3,2023,45000
3,2022,15000
